epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7531,1.1364,3.89411,1.44105,0.39189,0.7004,0.54677,0.41937,1.04273,15.2262,1.18358,0.00013336,0.00013336,0.00013336
2,3.52272,0.97369,2.08325,1.15153,0.69655,0.68744,0.71767,0.49244,1.32674,7.34897,1.24508,0.000280584,0.000280584,0.000280584
3,5.06321,0.93439,1.36018,1.08693,0.91981,0.37153,0.57137,0.40006,1.24153,6.4725,1.23211,0.000424838,0.000424838,0.000424838
4,6.6275,0.87408,1.09222,1.05913,0.59606,0.34298,0.12442,0.08362,1.52683,10.6268,1.74626,0.000566122,0.000566122,0.000566122
5,8.12992,1.04593,1.08881,1.14895,0.24698,0.63273,0.25252,0.13286,1.62721,9.49985,1.74738,0.000704434,0.000704434,0.000704434
6,9.62206,0.99777,1.12949,1.12769,0.15435,0.39632,0.21796,0.11366,1.52171,31.2999,1.6067,0.000839776,0.000839776,0.000839776
7,11.0783,1.02254,1.1633,1.14718,0.32306,0.72709,0.57153,0.36864,1.48773,8.65722,1.4997,0.000972148,0.000972148,0.000972148
8,12.5359,1.01565,1.07149,1.13944,0.32727,0.48397,0.18995,0.07386,2.40376,19.8754,3.1826,0.00110155,0.00110155,0.00110155
9,14.1546,1.02485,0.99935,1.14333,0.00599,0.45175,0.00474,0.0018,3.15117,36.7561,3.7811,0.00122798,0.00122798,0.00122798
10,15.7641,1.05224,1.05278,1.14698,0.00239,0.17849,0.00156,0.00051,3.26374,inf,9.58263,0.00135144,0.00135144,0.00135144
11,17.2304,0.94541,1.04537,1.08328,0.00018,0.01917,8e-05,3e-05,4.92913,inf,34.2469,0.00147193,0.00147193,0.00147193
12,18.683,1.07554,1.23596,1.14173,0.00338,0.0526,0.00101,0.0003,3.72783,209.603,11.6878,0.00148546,0.00148546,0.00148546
13,20.2493,0.99482,1.00388,1.11524,0.00465,0.09504,0.00243,0.00055,4.0358,inf,20.4522,0.00146896,0.00146896,0.00146896
14,21.8595,1.02242,0.9638,1.12536,0.05472,0.1052,0.01715,0.01312,2.91634,inf,5.64791,0.00145246,0.00145246,0.00145246
15,23.395,0.95729,0.93553,1.06436,0.38981,0.58613,0.52114,0.31488,1.58131,3.78675,1.68954,0.00143595,0.00143595,0.00143595
16,24.8438,0.92906,0.88308,1.09584,0.57163,0.58883,0.5921,0.38551,1.41772,2.66629,1.58049,0.00141945,0.00141945,0.00141945
17,26.3071,0.93433,0.8855,1.09906,0.64033,0.79236,0.80119,0.54373,1.21911,1.71842,1.30814,0.00140295,0.00140295,0.00140295
18,27.9112,0.90631,0.83389,1.0796,0.00047,0.06689,0.00025,0.00012,4.13516,inf,9.25789,0.00138644,0.00138644,0.00138644
19,29.3949,0.86976,0.80556,1.02917,0.19048,0.13531,0.05238,0.03915,2.9831,16.1523,2.66925,0.00136994,0.00136994,0.00136994
